CARPETA,Numero de documentos,Nombres de documentos,Número de documentos de tipo video,Nombre de documentos de tipo video,Tamaño (bytes),Tamaño (legible),Formato de video,Numero de subcarpetas,Nombre de subcarpetas,Year,RAW_TITLE,RAW_DIRECTION,RAW_COUNTRY,FOLDER_NAME_TYPE
Dead Ringers [1988] CA David Cronenberg,3,dead.ringers-KARiNA.nfo; dead.ringers.cd1-KARiNA.avi; dead.ringers.cd2-KARiNA.avi,2,dead.ringers.cd1-KARiNA.avi; dead.ringers.cd2-KARiNA.avi,1472503312,1.4 GB,avi,0,No,1988,Dead Ringers,David Cronenberg,CAN,4
Deep Valley - Negulesco 1947,3,Deep Valley - Negulesco 1947.avi; ._Deep Valley - Negulesco 1947.avi; Deep Valley - Negulesco 1947.srt,2,Deep Valley - Negulesco 1947.avi; ._Deep Valley - Negulesco 1947.avi,1316407296,1.2 GB,avi,0,No,1947,Deep Valley,Negulesco ,,8
Der Gang in die Nacht - Murnau 1921,2,Der Gang in die Nacht - Murnau 1921.avi; ._Der Gang in die Nacht - Murnau 1921.avi,2,Der Gang in die Nacht - Murnau 1921.avi; ._Der Gang in die Nacht - Murnau 1921.avi,909080096,867.0 MB,avi,0,No,1921,Der Gang in die Nacht,Murnau ,,8
Despair - Fassbinder 1978,3,Despair - Fassbinder 1978.avi; ._Despair - Fassbinder 1978.avi; Despair - Fassbinder 1978.srt,2,Despair - Fassbinder 1978.avi; ._Despair - Fassbinder 1978.avi,1464725504,1.4 GB,avi,0,No,1978,Despair,Fassbinder ,,8
Desperate Living [1977] US John Waters,2,Desperate Living ENG.srt; John Waters - (1977) Desperate Living.avi,1,John Waters - (1977) Desperate Living.avi,723204096,689.7 MB,avi,0,No,1977,Desperate Living,John Waters,USA,4
Despicable Me (2010),2,Despicable.Me.2010.1080p.BluRay.x264.YIFY.mp4; Despicable.Me.2010.1080p.BluRay.x264.YIFY.srt,1,Despicable.Me.2010.1080p.BluRay.x264.YIFY.mp4,1549051178,1.4 GB,mp4,0,No,2010,Despicable Me,,,7
Despicable Me 2 [2013] US Pierre Coffin & Chris Renaud,1,Despicable.Me.2.2013.1080p.BluRay.x264.YIFY.mp4,1,Despicable.Me.2.2013.1080p.BluRay.x264.YIFY.mp4,1553988533,1.4 GB,mp4,0,No,2013,Despicable Me 2,Pierre Coffin & Chris Renaud,USA,4
Dial 1119 - Mayer 1950,3,Dial 1119 - Mayer 1950.avi; ._Dial 1119 - Mayer 1950.avi; Dial 1119 - Mayer 1950.srt,2,Dial 1119 - Mayer 1950.avi; ._Dial 1119 - Mayer 1950.avi,1033281536,985.4 MB,avi,0,No,1950,Dial 1119,Mayer ,,8
Die Freudlose Gasse - Pabst 1925,2,Die Freudlose Gasse - Pabst 1925.avi; ._Die Freudlose Gasse - Pabst 1925.avi,2,Die Freudlose Gasse - Pabst 1925.avi; ._Die Freudlose Gasse - Pabst 1925.avi,733942322,699.9 MB,avi,0,No,1925,Die Freudlose Gasse,Pabst ,,8
Die Welle [2008],2,Die Welle[2008]DvDrip[Ger]-FXG.avi; Die Welle[Eng][Subs].srt,1,Die Welle[2008]DvDrip[Ger]-FXG.avi,734140416,700.1 MB,avi,0,No,2008,Die Welle,,,5
Django Unchained [2012] US Quentin Tarantino,3,Django Unchained (2012).BRRip.720p.Dual.[Hindi-Eng].Dolby.AC3.2ch - ┬® P@rM!NdeR M@nk├û├û Ôäó.srt; ._Django Unchained (2012).BRRip.720p.Dual.[Hindi-Eng].Dolby.AC3.2ch - ┬® P@rM!NdeR M@nk├û├û Ôäó.srt; Django.Unchained.2012.720p.BR.1.4GB.MkvCage.com.mkv,1,Django.Unchained.2012.720p.BR.1.4GB.MkvCage.com.mkv,1509154502,1.4 GB,mkv,0,No,2012,Django Unchained,Quentin Tarantino,USA,4
Dogville [2003] DEN Lars Von Trier,2,Dogville.2003.HDTVRiP.720p.x264.anoXmous_.mp4; Dogville.2003.HDTVRiP.720p.x264.anoXmous_eng.srt,1,Dogville.2003.HDTVRiP.720p.x264.anoXmous_.mp4,1484885406,1.4 GB,mp4,0,No,2003,Dogville,Lars Von Trier,DNK,4
Doodlebug [1997] GB Nolan,1,Nolan 1997 - Doodlebug.avi,1,Nolan 1997 - Doodlebug.avi,25986894,24.8 MB,avi,0,No,1997,Doodlebug,Nolan,GBR,4
Drive [2011] US Nicolas Winding Refn,1,Drive VOS.rmvb,1,Drive VOS.rmvb,440967319,420.5 MB,rmvb,0,No,2011,Drive,Nicolas Winding Refn,USA,4
Dune [1984] US David Lynch,1,Dune.avi,1,Dune.avi,722149376,688.7 MB,avi,0,No,1984,Dune,David Lynch,USA,4
Ed Wood (1994),2,Ed.Wood.1994.720p.BluRay.X264-AMIABLE-shd.srt; Ed.Wood.1994.720p.BluRay.x264.YIFY.mp4,1,Ed.Wood.1994.720p.BluRay.x264.YIFY.mp4,967056727,922.3 MB,mp4,0,No,1994,Ed Wood,,,7
Edward Scissorhands (1990),2,Edward.Scissorhands.1990.1080p.BrRip.x264.YIFY.mp4; Edward.Scissorhands.1990.1080p.BrRip.x264.YIFY.srt,1,Edward.Scissorhands.1990.1080p.BrRip.x264.YIFY.mp4,1607527853,1.5 GB,mp4,0,No,1990,Edward Scissorhands,,,7
El Angel Exterminador [1962] MEX Luis Buñuel,3,El.Angel.Exterminador.Luis.Bunuel 1962.[DVDRip+VHS].[DivX].[Spanish].jpg; El.Angel.Exterminador.Luis.Buñuel 1962.[DVDRip+VHS].[DivX].[Spanish].[WwW.LoKoTorrrens.CoM].LKT.avi; El.Angel.Exterminador.Luis.Buñuel 1962.[DVDRip+VHS].[DivX].[Spanish].[WwW.LoKoTorrrens.CoM].LKT.txt,1,El.Angel.Exterminador.Luis.Buñuel 1962.[DVDRip+VHS].[DivX].[Spanish].[WwW.LoKoTorrrens.CoM].LKT.avi,731834368,697.9 MB,avi,0,No,1962,El Angel Exterminador,Luis Buñuel,MEX,4
El Bruto [1953] MEX Luis Buñuel,3,El Bruto eng.srt; El Bruto ptb.srt; El Bruto.avi,1,El Bruto.avi,1164566528,1.1 GB,avi,0,No,1953,El Bruto,Luis Buñuel,MEX,4
El cebo,3,El Cebo.mpg; exvid-ihibd.English.srt; ._exvid-ihibd.English.srt,1,El Cebo.mpg,2239657984,2.1 GB,mpg,0,No,,El Cebo,,,1
El cerco - Iglesias 1955,1,El cerco - Iglesias 1955.avi,1,El cerco - Iglesias 1955.avi,1306218496,1.2 GB,avi,0,No,1955,El cerco,Iglesias ,,8
El crimen de la calle Bordadores - Vajda 1946,1,El crimen de la calle de Bordadores - Vajda 1946.mpg,1,El crimen de la calle de Bordadores - Vajda 1946.mpg,1453125632,1.4 GB,mpg,0,No,1946,El crimen de la calle Bordadores,Vajda ,,8
El infierno [2010] MEX Luis Estrada,2,El infierno - Estrada 2010.avi; ._El infierno - Estrada 2010.avi,2,El infierno - Estrada 2010.avi; ._El infierno - Estrada 2010.avi,1633450604,1.5 GB,avi,0,No,2010,El infierno,Luis Estrada,MEX,4
El Milagro de P. Tinto [1998] ES Javier Fesser,1,El Milagro de P. tinto [1998] Javier Fesser.avi,1,El Milagro de P. tinto [1998] Javier Fesser.avi,0,0 B,avi,0,No,1998,El Milagro de P. Tinto,Javier Fesser,ESP,4
El mundo sigue,2,El mundo sigue - Fernán-Gómez.avi; ._El mundo sigue - Fernán-Gómez.avi,2,El mundo sigue - Fernán-Gómez.avi; ._El mundo sigue - Fernán-Gómez.avi,1470537728,1.4 GB,avi,0,No,,El Mundo Sigue,,,1
El Padrino i,6,El Padrino I  [DVDRIP][CD1][Dual Spanish-English][www.pctorrent.com].avi; El Padrino I  [DVDRIP][CD2][Dual Spanish-English][www.pctorrent.com].avi; exvid-godfather1-cd1.srt; ._exvid-godfather1-cd1.srt; exvid-godfather1-cd2.srt; ._exvid-godfather1-cd2.srt,2,El Padrino I  [DVDRIP][CD1][Dual Spanish-English][www.pctorrent.com].avi; El Padrino I  [DVDRIP][CD2][Dual Spanish-English][www.pctorrent.com].avi,1453574144,1.4 GB,avi,0,No,,El Padrino I,,,1
El Padrino II,2,El Padrino II  [DVDRIP][CD1][Dual Spanish-English][www.pctorrent.com].avi; El Padrino II  [DVDRIP][CD2][Dual Spanish-English][www.pctorrent.com].avi,2,El Padrino II  [DVDRIP][CD1][Dual Spanish-English][www.pctorrent.com].avi; El Padrino II  [DVDRIP][CD2][Dual Spanish-English][www.pctorrent.com].avi,1467662336,1.4 GB,avi,0,No,,El Padrino Ii,,,1
El Padrino III,2,El Padrino III  [DVDRIP][CD1][Dual Spanish-English][www.pctorrent.com].avi; El Padrino III  [DVDRIP][CD2][Dual Spanish-English][www.pctorrent.com].avi,2,El Padrino III  [DVDRIP][CD1][Dual Spanish-English][www.pctorrent.com].avi; El Padrino III  [DVDRIP][CD2][Dual Spanish-English][www.pctorrent.com].avi,1467041792,1.4 GB,avi,0,No,,El Padrino Iii,,,1
El Topo [1970] MEX Alejandro Jodorowsky,1,El.Topo.1970.(Alejandro.Jodorowsky).Spanish.DVDrip.XviD.AC3.by.[Kitano_Girl].avi,1,El.Topo.1970.(Alejandro.Jodorowsky).Spanish.DVDrip.XviD.AC3.by.[Kitano_Girl].avi,1467627520,1.4 GB,avi,0,No,1970,El Topo,Alejandro Jodorowsky,MEX,4
Elephant - Van Sant 2003,2,Elephant - Van Sant 2003.avi; ._Elephant - Van Sant 2003.avi,2,Elephant - Van Sant 2003.avi; ._Elephant - Van Sant 2003.avi,1462806528,1.4 GB,avi,0,No,2003,Elephant,Van Sant ,,8
Elephant man [1980] US David Lynch,1,The.Elephant.Man.1980.1080p.BluRay.x264-[YTS.AM].mp4,1,The.Elephant.Man.1980.1080p.BluRay.x264-[YTS.AM].mp4,2143015731,2.0 GB,mp4,0,No,1980,Elephant man,David Lynch,USA,4
Enter The Void [2009] Gaspar Noe,3,Enter The Void - (2009) DvdRip Xvid-Noir.srt; ._Enter The Void - (2009) DvdRip Xvid-Noir.srt; Enter The Void.2009.DvdRip.XviD-Noir.avi,1,Enter The Void.2009.DvdRip.XviD-Noir.avi,1468055016,1.4 GB,avi,0,No,2009,Enter The Void,Gaspar Noe,,6
Entre tinieblas [1983] ES Pedro Almodovar,3,1983 Entre tinieblas.srt; Entre tinieblas - Almodovar 1983.avi; ._Entre tinieblas - Almodovar 1983.avi,2,Entre tinieblas - Almodovar 1983.avi; ._Entre tinieblas - Almodovar 1983.avi,734550016,700.5 MB,avi,0,No,1983,Entre tinieblas,Pedro Almodovar,ESP,4
Epidermic [1987] DEN Lars Von Trier,1,Epidermic.avi,1,Epidermic.avi,733933568,699.9 MB,avi,0,No,1987,Epidermic,Lars Von Trier,DNK,4
Equus [1977] Sidney Lumet,3,1337x.Org.txt; Blazinseedboxes.com.txt; Equus.1977.DvdRip.Xvid {1337x}-Noir.avi,1,Equus.1977.DvdRip.Xvid {1337x}-Noir.avi,1467429192,1.4 GB,avi,0,No,1977,Equus,Sidney Lumet,,6
Eraserhead [1977] US David Lynch,2,Eraserhead (1977) BDRip 720p multisub HighCode.mkv; INFO.nfo,1,Eraserhead (1977) BDRip 720p multisub HighCode.mkv,2681354973,2.5 GB,mkv,0,No,1977,Eraserhead,David Lynch,USA,4
Fail-Safe [1964] US Sidney Lumet,3,Fail-Safe - Lumet 1963.avi; ._Fail-Safe - Lumet 1963.avi; Fail-Safe - Lumet 1963.srt,2,Fail-Safe - Lumet 1963.avi; ._Fail-Safe - Lumet 1963.avi,1829826560,1.7 GB,avi,0,No,1964,Fail-Safe,Sidney Lumet,USA,4
Familia [1996] ES Fernando Leon de Aranoa,2,Familia - Leon de Aranoa-1996.avi; ._Familia - Leon de Aranoa-1996.avi,2,Familia - Leon de Aranoa-1996.avi; ._Familia - Leon de Aranoa-1996.avi,739252224,705.0 MB,avi,0,No,1996,Familia,Fernando Leon de Aranoa,ESP,4
Female Trouble [1974] US John Waters,4,cover_img.jpg; Female Trouble [1974].mkv; i.nfo; John Waters - Female Trouble (1974).srt,1,Female Trouble [1974].mkv,1041479497,993.2 MB,mkv,1,Extras,1974,Female Trouble,John Waters,USA,4
Fingers [1978] US James Toback,3,Fingers (1978) James Toback Harvey Keitel.avi; ._Fingers (1978) James Toback Harvey Keitel.avi; Fingers (1978) James Toback Harvey Keitel.srt,2,Fingers (1978) James Toback Harvey Keitel.avi; ._Fingers (1978) James Toback Harvey Keitel.avi,734234624,700.2 MB,avi,0,No,1978,Fingers,James Toback,USA,4
Following [1998] UK Christopher Nolan,2,Following.1998.[Christopher Nolan][VOSE].avi; ._Following.1998.[Christopher Nolan][VOSE].avi,2,Following.1998.[Christopher Nolan][VOSE].avi; ._Following.1998.[Christopher Nolan][VOSE].avi,731600896,697.7 MB,avi,0,No,1998,Following,Christopher Nolan,GBR,4
Frank Borzage's Moonrise [1948] US Frank Borzage,3,Moonrise - Borzage 1948 ES.srt; Moonrise - Borzage 1948.avi; ._Moonrise - Borzage 1948.avi,2,Moonrise - Borzage 1948.avi; ._Moonrise - Borzage 1948.avi,763234304,727.9 MB,avi,0,No,1948,Frank Borzage's Moonrise,Frank Borzage,USA,4
Fried Green Tomatoes (1991),2,Fried.Green.Tomatoes.1991.1080p.BluRay.x264.VPPV.mp4; Fried.Green.Tomatoes.1991.1080p.BluRay.x264.VPPV.srt,1,Fried.Green.Tomatoes.1991.1080p.BluRay.x264.VPPV.mp4,3469254355,3.2 GB,mp4,0,No,1991,Fried Green Tomatoes,,,7
From Hell [2001] US Albert Hughes,3,From.Hell.2001.1080p.BluRay.x264.YIFY.mp4; From_Hell_2001_720p_BluRay_DTS_x264-ESiR.srt; ._From_Hell_2001_720p_BluRay_DTS_x264-ESiR.srt,1,From.Hell.2001.1080p.BluRay.x264.YIFY.mp4,1979579892,1.8 GB,mp4,0,No,2001,From Hell,Albert Hughes,USA,4
Frozen (2013),3,Frozen.2013.1080p.BluRay.x264.YIFY.mp4; Frozen.2013.720p.BluRay.x264-SPARKS.srt; ._Frozen.2013.720p.BluRay.x264-SPARKS.srt,1,Frozen.2013.1080p.BluRay.x264.YIFY.mp4,1755005744,1.6 GB,mp4,0,No,2013,Frozen,,,7
Fucking Åmål (Show Me Love) [1998] Lukas Moodysson,17,Fucking Amal.avi; Fucking Amal.BrazilianPortuguese.srt; Fucking Amal.Czech.srt; Fucking Amal.Danish.srt; Fucking Amal.Dutch.srt; Fucking Amal.English.srt; Fucking Amal.Estonian.srt; Fucking Amal.Finnish.srt; Fucking Amal.French.srt; Fucking Amal.Hungarian.srt; Fucking Amal.Italian.srt; Fucking Amal.Polish.srt; Fucking Amal.Portuguese.srt; Fucking Amal.Slovenian.srt; Fucking Amal.Spanish.srt; Fucking Amal.Swedish.srt; Fucking Amal.Turkish.srt,1,Fucking Amal.avi,732848128,698.9 MB,avi,0,No,1998,Fucking Åmål (Show Me Love),Lukas Moodysson,,6
Garden State [2004] US Zach Braff,2,"Garden State - French (29,970FPS).srt; Garden_State.avi",1,Garden_State.avi,733859840,699.9 MB,avi,0,No,2004,Garden State,Zach Braff,USA,4
Gattaca (1997),3,Gattaca.1997.720p.BrRip.x264.bitloks.YIFY.mp4; Gattaca.1997.720p.BrRip.x264.bitloks.YIFY.srt; WWW.YIFY-TORRENTS.COM.jpg,1,Gattaca.1997.720p.BrRip.x264.bitloks.YIFY.mp4,800476092,763.4 MB,mp4,0,No,1997,Gattaca,,,7
Gentlemen prefer blondes [1953] US Howard Hawks,1,Gentlemen prefer blondes DUAL.avi,1,Gentlemen prefer blondes DUAL.avi,730143054,696.3 MB,avi,0,No,1953,Gentlemen prefer blondes,Howard Hawks,USA,4
Glen or Glenda [1953] US Ed Wood (AKA Edward D. Wood Jr.),1,Glen o glenda.avi,1,Glen o glenda.avi,471427408,449.6 MB,avi,0,No,1953,Glen or Glenda,Ed Wood (AKA Edward D. Wood Jr.),USA,4
Gli anni ruggenti [1962] IT Luigi Zampa,3,Gli anni ruggenti - Zampa 1962 ES.srt; ._Gli anni ruggenti - Zampa 1962 ES.srt; Gli anni ruggenti - Zampa 1962.avi,1,Gli anni ruggenti - Zampa 1962.avi,1264714260,1.2 GB,avi,0,No,1962,Gli anni ruggenti,Luigi Zampa,ITA,4
Godford Park [2001] US Altman,2,Altman 2001 - Gosford Park.srt; Altman 2001 - Gosford Park.avi,1,Altman 2001 - Gosford Park.avi,1993013398,1.9 GB,avi,0,No,2001,Godford Park,Altman,USA,4
Gone.Girl.2014.1080p.WEB-DL.DD5.1.H264-RARBG,3,English.srt; Gone.Girl.2014.1080p.WEB-DL.DD5.1.H264-RARBG.mkv; Gone.Girl.2014.1080p.WEB-DL.DD5.1.H264-RARBG.nfo,1,Gone.Girl.2014.1080p.WEB-DL.DD5.1.H264-RARBG.mkv,4793834082,4.5 GB,mkv,0,No,2014,Gone Girl,,,2
"Good Bye, Lenin! (2003)",2,"Good Bye, Lenin! (2003) - 1080p x265 HEVC - GER (ENG SUBS) [BRSHNKV].m4v; Good Bye, Lenin! (2003) - 1080p x265 HEVC - GER (ENG SUBS) [BRSHNKV] ENG.srt",1,"Good Bye, Lenin! (2003) - 1080p x265 HEVC - GER (ENG SUBS) [BRSHNKV].m4v",1181569226,1.1 GB,m4v,0,No,2003,"Good Bye, Lenin!",,,7
Goodfellas [1990] Martin Scorsese,1,".Extra ( VobSubs; Eng,Fra,Ger,Ita,Spa ).mkv",1,".Extra ( VobSubs; Eng,Fra,Ger,Ita,Spa ).mkv",254430516,242.6 MB,mkv,0,No,1990,Goodfellas,Martin Scorsese,,6
Great Expectations [2012] Mike Newell,2,Great.Expectations.2012.720p.BluRay.x264.7SinS.srt; s4a-great.expectations.brrip.xvid.avi,1,s4a-great.expectations.brrip.xvid.avi,741071896,706.7 MB,avi,0,No,2012,Great Expectations,Mike Newell,,6
Grindhouse  (Planet Terror) [2007] US Robert Rodriguez,3,Grindhouse - Planet Terror (2007).avi; Grindhouse - Planet Terror (2007).idx; Grindhouse - Planet Terror (2007).sub,1,Grindhouse - Planet Terror (2007).avi,1787828224,1.7 GB,avi,0,No,2007,Grindhouse  (Planet Terror),Robert Rodriguez,USA,4
Grinfhouse (Death Proof) [2007] US Quentin Tarantino,1,Death.Proof.2007.BRRip.XviD.MP3-RARBG.avi,1,Death.Proof.2007.BRRip.XviD.MP3-RARBG.avi,1485235838,1.4 GB,avi,1,Subs,2007,Grinfhouse (Death Proof),Quentin Tarantino,USA,4
Guardians of the Galaxy (2014),5,14 - 1 - Lecture 1 - Chapter 1- Intro to Sustainable Development (11-11).txt; ._14 - 1 - Lecture 1 - Chapter 1- Intro to Sustainable Development (11-11).txt; Guardians.of.the.Galaxy.2014.720p.BluRay.x264-SPARKS.srt; ._Guardians.of.the.Galaxy.2014.720p.BluRay.x264-SPARKS.srt; Guardians.of.the.Galaxy.2014.720p.BluRay.x264.YIFY.mp4,1,Guardians.of.the.Galaxy.2014.720p.BluRay.x264.YIFY.mp4,913294820,871.0 MB,mp4,0,No,2014,Guardians of the Galaxy,,,7
Gummo [1997] US,2,Gummo.1997.DVDRip.XviD-DiSSOLVE.srt; Gummo.avi,1,Gummo.avi,733956096,700.0 MB,avi,0,No,1997,Gummo,,USA,4
Hair [1979] US Milos Forman,1,Hair 1979 BDRip 1080p x264 DTS multisub-HighCode.mkv,1,Hair 1979 BDRip 1080p x264 DTS multisub-HighCode.mkv,6653114926,6.2 GB,mkv,0,No,1979,Hair,Milos Forman,USA,4
Hairspray [1988] US John Waters,3,Hairspray.1988.AC3.DivX-eng.srt; Hairspray.1988.AC3.DivX.avi; Hairspray.srt,1,Hairspray.1988.AC3.DivX.avi,929355904,886.3 MB,avi,0,No,1988,Hairspray,John Waters,USA,4
Hamlet - Doran  2009,2,Hamlet - Doran  2009.avi; Hamlet - Doran  2009.srt,1,Hamlet - Doran  2009.avi,1584517120,1.5 GB,avi,0,No,2009,Hamlet,Doran  ,,8
Hanyo (The Housemaid) [2010] COREA Im Sang-soo,5,Hanyo The Housemaid - Kim Ki Young 1960 ES.srt; Hanyo The Housemaid - Kim Ki Young 1960.avi; ._Hanyo The Housemaid - Kim Ki Young 1960.avi; The.Housemaid.(1960).RIP.remastered.srt; ._The.Housemaid.(1960).RIP.remastered.srt,2,Hanyo The Housemaid - Kim Ki Young 1960.avi; ._Hanyo The Housemaid - Kim Ki Young 1960.avi,1468274688,1.4 GB,avi,0,No,2010,Hanyo (The Housemaid),Im Sang-soo,KOR,4
Happiness [1998] US Todd Solondz,2,Happiness - Solondz 1998 ES.srt; Happiness - Solondz 1998.avi,1,Happiness - Solondz 1998.avi,1359411200,1.3 GB,avi,0,No,1998,Happiness,Todd Solondz,USA,4
Harakiri - Kobayashi 1962,4,Harakiri - Kobayashi 1962.avi; ._Harakiri - Kobayashi 1962.avi; Harakiri - Kobayashi 1962.srt; ._Harakiri - Kobayashi 1962.srt,2,Harakiri - Kobayashi 1962.avi; ._Harakiri - Kobayashi 1962.avi,1872099328,1.7 GB,avi,0,No,1962,Harakiri,Kobayashi ,,8
Harry Potter And The Chamber Of Secrets [2002] UK,0,,0,,0,0 B,,3,01. Harry Potter And The Chamber Of Secrets (2002) DVD Rip; 02. Special Features; 03. DVD COVER,2002,Harry Potter And The Chamber Of Secrets,,GBR,4
Harry Potter and the Deathly Hallows Part I [2010] UK,2,Harry.Potter.And.The.Deathly.Hallows.Part.1.720p.BluRay.x264-TWiZTED.mkv; Harry.Potter.And.The.Deathly.Hallows.Part.1.720p.BluRay.x264-TWiZTED.srt,1,Harry.Potter.And.The.Deathly.Hallows.Part.1.720p.BluRay.x264-TWiZTED.mkv,7040766989,6.6 GB,mkv,0,No,2010,Harry Potter and the Deathly Hallows Part I,,GBR,4
Harry Potter and the Deathly Hallows Part II [2011] UK,2,Harry.Potter.And.The.Deathly.Hallows.Part.2.720p.Bluray.x264-MHD.srt; mhd-hp7p2-720p.mkv,1,mhd-hp7p2-720p.mkv,7041045289,6.6 GB,mkv,0,No,2011,Harry Potter and the Deathly Hallows Part II,,GBR,4
Harry Potter And The Goblet Of Fire [2005] UK,0,,0,,0,0 B,,2,01. Harry Potter And The Goblet Of Fire (2005); 02. DVD COVER,2005,Harry Potter And The Goblet Of Fire,,GBR,4
Harry Potter and the Half-Blood Prince [2009] UK,2,Harry Potter And The Half-Blood Prince.2009.DvdRip.Xvid {1337x}-Noir.srt; Harry.Potter.And.The.Half.Blood.Prince.2009.DvDRip-FxM.avi,1,Harry.Potter.And.The.Half.Blood.Prince.2009.DvDRip-FxM.avi,944652288,900.9 MB,avi,0,No,2009,Harry Potter and the Half-Blood Prince,,GBR,4
Harry Potter And The Order Of The Phoenix [2007] UK,0,,0,,0,0 B,,2,01. Harry Potter And The Order Of The Phoenix (2007)DVD Rip; 02. DVD COVER,2007,Harry Potter And The Order Of The Phoenix,,GBR,4
Harry Potter And The Philosopher's Stone [2001] UK,1,Harry Potter And The Philosopher's Stone.mp4,1,Harry Potter And The Philosopher's Stone.mp4,1612892035,1.5 GB,mp4,0,No,2001,Harry Potter And The Philosopher's Stone,,GBR,4
Harry Potter And The Prisoner Of Azkaban [2004] UK,0,,0,,0,0 B,,3,01. Harry Potter And The Prisoner Of Azkaban (2004) DVD Rip; 02. Special Features; 03. DVD COVER,2004,Harry Potter And The Prisoner Of Azkaban,,GBR,4
Henry Portrait Of A Serial Killer [1986] US John McNaughton,3,Henry.Portrait.Of.A.Serial.Killer.1986.BRRip.H264.AAC.Gopo.mp4; Henry.Portrait.Of.A.Serial.Killer.1986.BRRip.H264.AAC.Gopo.srt; Henry.Portrait.Of.A.Serial.Killer.1986.BRRip.H264.AAC.Gopo_EN.srt,1,Henry.Portrait.Of.A.Serial.Killer.1986.BRRip.H264.AAC.Gopo.mp4,1469721801,1.4 GB,mp4,1,Sample,1986,Henry Portrait Of A Serial Killer,John McNaughton,USA,4
Her [2013] US Spike Jonze,3,Her.2013.1080p.BluRay.x264.YIFY.mp4; Her.2013.1080p.BluRay.x264.YIFY.srt; ._Her.2013.1080p.BluRay.x264.YIFY.srt,1,Her.2013.1080p.BluRay.x264.YIFY.mp4,1991522644,1.9 GB,mp4,0,No,2013,Her,Spike Jonze,USA,4
High.Wall - Bernhardt 1947,3,High.Wall - Bernhardt 1947.avi; ._High.Wall - Bernhardt 1947.avi; High.Wall - Bernhardt 1947.srt,2,High.Wall - Bernhardt 1947.avi; ._High.Wall - Bernhardt 1947.avi,1473882112,1.4 GB,avi,0,No,1947,High.Wall,Bernhardt ,,8
History Is Made at Night,2,History Is Made at Night -  Borzage 1937.avi; History Is Made at Night -  Borzage 1937.srt,1,History Is Made at Night -  Borzage 1937.avi,1188159488,1.1 GB,avi,0,No,,History Is Made At Night,,,1
Home (2015) [1080p],1,Home.2015.1080p.BluRay.x264.YIFY.mp4,1,Home.2015.1080p.BluRay.x264.YIFY.mp4,1548620286,1.4 GB,mp4,0,No,2015,Home,,,7
Homme qui aimait les femmes [1977] FR Truffaut,1,1977-Homme qui aimait les femmes-Truffaut.avi,1,1977-Homme qui aimait les femmes-Truffaut.avi,730634240,696.8 MB,avi,0,No,1977,Homme qui aimait les femmes,Truffaut,FRA,4
How to Train Your Dragon 2 2014 1080p BRRip x264 DTS-JYK,2,How to Train Your Dragon 2 2014 1080p BRRip x264 DTS-JYK.mkv; How to Train Your Dragon 2 2014 1080p BRRip x264 DTS-JYK.mkv.jpg,1,How to Train Your Dragon 2 2014 1080p BRRip x264 DTS-JYK.mkv,3738709804,3.5 GB,mkv,1,Subs,2014,How to Train Your Dragon 2 2014 1080p BRRip x264 DTS,JYK,,8
I compagni - Monicelli  1963,3,I compagni - Monicelli  1963.avi; ._I compagni - Monicelli  1963.avi; I compagni - Monicelli  1963.srt,2,I compagni - Monicelli  1963.avi; ._I compagni - Monicelli  1963.avi,1557225472,1.5 GB,avi,0,No,1963,I compagni,Monicelli  ,,8
I Complessi [1965] IT Dino Risi,4,"I Complessi -  D' Amico, Risi, Rossi 1965 ES.srt; ._I Complessi -  D' Amico, Risi, Rossi 1965 ES.srt; I Complessi -  D' Amico, Risi, Rossi 1965.avi; ._I Complessi -  D' Amico, Risi, Rossi 1965.avi",2,"I Complessi -  D' Amico, Risi, Rossi 1965.avi; ._I Complessi -  D' Amico, Risi, Rossi 1965.avi",837119516,798.3 MB,avi,0,No,1965,I Complessi,Dino Risi,ITA,4
I Pugni in Tasca - Bellocchio 1965,4,I Pugni in Tasca - Bellocchio 1965.avi; ._I Pugni in Tasca - Bellocchio 1965.avi; I Pugni in Tasca - Bellocchio 1965.srt; ._I Pugni in Tasca - Bellocchio 1965.srt,2,I Pugni in Tasca - Bellocchio 1965.avi; ._I Pugni in Tasca - Bellocchio 1965.avi,733337600,699.4 MB,avi,0,No,1965,I Pugni in Tasca,Bellocchio ,,8
I Wake Up Screaming  - Humberstone 1941,3,I Wake Up Screaming  - Humberstone 1941.avi; ._I Wake Up Screaming  - Humberstone 1941.avi; I Wake Up Screaming  - Humberstone 1941.srt,2,I Wake Up Screaming  - Humberstone 1941.avi; ._I Wake Up Screaming  - Humberstone 1941.avi,732270592,698.3 MB,avi,0,No,1941,I Wake Up Screaming,Humberstone ,,8
I Walk Alone - Haskin 1948,2,I Walk Alone - Haskin 1948.avi; ._I Walk Alone - Haskin 1948.avi,2,I Walk Alone - Haskin 1948.avi; ._I Walk Alone - Haskin 1948.avi,731103232,697.2 MB,avi,0,No,1948,I Walk Alone,Haskin ,,8
